method,fold,cell_type,seed,layer,k_pc,R_full,MAE_full,R_residual,MAE_residual,deltaR_holdout,R_aida_full,R_aida_residual,deltaR_aida
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,0,50,0.5256,12.1523,0.3234,15.5133,-0.2022,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,1,5,0.6161,8.8248,0.5892,13.0658,-0.0269,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,1,10,0.6161,8.8248,0.5635,12.7206,-0.0525,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,1,25,0.6161,8.8248,0.3791,14.6459,-0.2370,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,1,50,0.6161,8.8248,0.1430,15.5101,-0.4731,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,2,5,0.5975,9.6401,0.5900,13.2893,-0.0074,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,2,10,0.5975,9.6401,0.5948,12.2105,-0.0026,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,2,25,0.5975,9.6401,0.2151,15.2167,-0.3824,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,2,50,0.5975,9.6401,0.1396,15.6293,-0.4578,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,3,5,0.5602,10.6041,0.5319,16.8206,-0.0283,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,3,10,0.5602,10.6041,0.5204,20.8533,-0.0398,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,3,25,0.5602,10.6041,0.4306,16.3232,-0.1295,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,3,50,0.5602,10.6041,0.3191,15.6423,-0.2411,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,4,5,0.5823,16.9323,0.5755,20.6167,-0.0068,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,4,10,0.5823,16.9323,0.5749,24.6323,-0.0074,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,4,25,0.5823,16.9323,0.3925,30.7981,-0.1898,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,4,50,0.5823,16.9323,0.2317,16.1722,-0.3505,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,5,5,0.6209,18.2382,0.6127,28.4633,-0.0081,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,5,10,0.6209,18.2382,0.5780,30.4612,-0.0429,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,5,25,0.6209,18.2382,0.3210,20.7178,-0.2999,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,5,50,0.6209,18.2382,0.2636,15.5125,-0.3573,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,6,5,0.6124,18.5999,0.5940,29.6602,-0.0184,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,6,10,0.6124,18.5999,0.5491,27.6064,-0.0633,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,6,25,0.6124,18.5999,0.3501,17.1832,-0.2623,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,6,50,0.6124,18.5999,0.3202,15.6199,-0.2922,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,7,5,0.5595,10.8549,0.5740,19.1562,0.0146,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,7,10,0.5595,10.8549,0.5213,13.9483,-0.0382,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,7,25,0.5595,10.8549,0.2885,16.6311,-0.2709,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,7,50,0.5595,10.8549,0.0459,16.4090,-0.5136,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,8,5,0.5302,11.1111,0.5211,13.5697,-0.0092,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,8,10,0.5302,11.1111,0.5337,12.0711,0.0034,,,
