method,cell_type,eval_cohort,fold,layer,seed,R,MAE,ci_lo,ci_hi,n_train,n_eval,notes
geneformer_rank32_lora_seed0_layer4,CD4+ T,aida,loco_onek1k,4.0000,0.0000,0.4515,8.2568,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer5,CD4+ T,onek1k,loco_onek1k,5.0000,0.0000,0.5837,25.2229,0.5376,0.6262,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer5,CD4+ T,aida,loco_onek1k,5.0000,0.0000,0.4272,10.0456,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer6,CD4+ T,onek1k,loco_onek1k,6.0000,0.0000,0.6121,25.6940,0.5693,0.6534,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer6,CD4+ T,aida,loco_onek1k,6.0000,0.0000,0.5584,8.1326,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer7,CD4+ T,onek1k,loco_onek1k,7.0000,0.0000,0.5925,22.8088,0.5488,0.6358,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer7,CD4+ T,aida,loco_onek1k,7.0000,0.0000,0.5403,7.6815,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer8,CD4+ T,onek1k,loco_onek1k,8.0000,0.0000,0.6069,34.3404,0.5607,0.6472,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer8,CD4+ T,aida,loco_onek1k,8.0000,0.0000,0.6118,7.6211,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer9,CD4+ T,onek1k,loco_onek1k,9.0000,0.0000,0.6165,29.8907,0.5692,0.6584,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer9,CD4+ T,aida,loco_onek1k,9.0000,0.0000,0.6167,6.9208,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer10,CD4+ T,onek1k,loco_onek1k,10.0000,0.0000,0.6298,25.2196,0.5860,0.6697,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer10,CD4+ T,aida,loco_onek1k,10.0000,0.0000,0.6149,7.8199,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer11,CD4+ T,onek1k,loco_onek1k,11.0000,0.0000,0.5618,35.2298,0.5107,0.6049,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer11,CD4+ T,aida,loco_onek1k,11.0000,0.0000,0.6280,8.8602,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer12,CD4+ T,onek1k,loco_onek1k,12.0000,0.0000,0.6359,11.0030,0.5908,0.6739,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer12,CD4+ T,aida,loco_onek1k,12.0000,0.0000,0.6134,8.0235,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_3seed_layer0,CD4+ T,onek1k,loco_onek1k,0.0000,,0.3422,28.4718,,,,,"rank-32 LoRA 3-seed mean (R_std=0.000, MAE_std=0.00)"
geneformer_rank32_lora_3seed_layer0,CD4+ T,aida,loco_onek1k,0.0000,,0.3165,10.7919,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.000, MAE_std=0.00)"
geneformer_rank32_lora_3seed_layer1,CD4+ T,onek1k,loco_onek1k,1.0000,,0.5026,27.5579,,,,,"rank-32 LoRA 3-seed mean (R_std=0.005, MAE_std=0.50)"
geneformer_rank32_lora_3seed_layer1,CD4+ T,aida,loco_onek1k,1.0000,,0.4721,9.1497,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.005, MAE_std=0.03)"
