method,fold,cell_type,seed,layer,n_bootstraps,wins,win_rate,mean_cv_R,std_cv_R,kfold_cv_pick_d37,oracle_pick_d37,top1_layer,top1_win_rate,top2_layer,top2_win_rate,stability
geneformer_frozen_seed0,loco_terekhova,NK,0,10,200,0,0.0000,0.4334,0.0232,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,11,200,0,0.0000,0.4244,0.0227,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,12,200,0,0.0000,0.4827,0.0240,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed1,loco_onek1k,NK,1,0,200,0,0.0000,0.1728,0.0752,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,1,200,0,0.0000,0.3040,0.0619,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,2,200,101,0.5050,0.3538,0.0616,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,3,200,15,0.0750,0.3390,0.0632,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,4,200,2,0.0100,0.3205,0.0635,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,5,200,0,0.0000,0.3197,0.0638,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,6,200,0,0.0000,0.2985,0.0642,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,7,200,0,0.0000,0.2898,0.0647,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,8,200,0,0.0000,0.2707,0.0643,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,9,200,0,0.0000,0.2536,0.0648,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,10,200,0,0.0000,0.2489,0.0652,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,11,200,0,0.0000,0.2501,0.0645,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed1,loco_onek1k,NK,1,12,200,82,0.4100,0.3514,0.0673,2,3,2,0.5050,12,0.4100,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,0,200,0,0.0000,0.1815,0.0749,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,1,200,1,0.0050,0.3281,0.0598,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,2,200,25,0.1250,0.3754,0.0606,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,3,200,46,0.2300,0.3826,0.0573,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,4,200,2,0.0100,0.3600,0.0572,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,5,200,0,0.0000,0.3575,0.0592,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,6,200,0,0.0000,0.3341,0.0605,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,7,200,0,0.0000,0.3217,0.0607,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,8,200,0,0.0000,0.2970,0.0619,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,9,200,0,0.0000,0.2755,0.0630,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,10,200,0,0.0000,0.2722,0.0634,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed2,loco_onek1k,NK,2,11,200,0,0.0000,0.2679,0.0630,3,4,12,0.6300,3,0.2300,moderate
